Close,Qty,EPS
445.0,5038.0,1.78
442.0,11997.0,21.96
455.0,11095.0,21.96
474.0,30535.0,21.96
470.0,17403.0,21.96
472.0,26329.0,21.96
466.0,30287.0,21.96
460.0,25111.0,21.96
463.0,10580.0,21.96
459.0,16769.0,21.96
458.0,8279.0,21.96
458.0,10079.0,21.96
461.0,10283.0,21.96
462.0,12151.0,21.96
463.0,12444.0,21.96
469.0,24579.0,21.96
468.0,18709.0,21.96
468.0,18924.0,21.96
465.0,14262.0,21.96
462.0,8816.0,21.96
467.0,54872.0,21.96
463.0,15597.0,21.96
462.0,17261.0,21.96
462.0,20057.0,21.96
456.0,18074.0,21.96
457.0,11655.0,21.96
457.0,13414.0,21.96
455.0,16330.0,21.96
458.0,13033.0,21.96
470.0,62701.0,21.96
465.0,32657.0,21.96
451.0,87940.0,21.96
441.0,142581.0,21.96
346.0,23965.0,21.96
349.0,15960.0,21.96
345.0,10659.0,21.96
340.0,19619.0,21.96
346.0,14034.0,21.96
342.0,12972.0,21.96
340.0,9124.0,21.96
346.0,13386.0,21.96
353.0,10391.0,21.96
353.0,9526.0,21.96
348.0,8406.0,21.96
350.0,4527.0,21.96
356.0,5365.0,21.96
357.0,5974.0,21.96
365.0,3978.0,21.96
350.0,10450.0,21.96
348.0,13409.0,21.96
350.0,7348.0,21.96
346.0,12361.0,21.96
351.0,8660.0,21.96
354.0,8392.0,21.96
355.0,6036.0,21.96
372.0,11856.0,21.96
375.0,18138.0,21.96
378.0,8754.0,13.51
369.0,33415.0,13.51
366.0,21882.0,13.51
362.0,20778.0,13.51
363.0,4063.0,13.51
358.0,11839.0,13.51
363.0,10493.0,13.51
363.0,3442.0,13.51
357.0,22323.0,13.51
353.0,10044.0,13.51
360.0,16310.0,13.51
354.0,3918.0,13.51
347.0,9870.0,13.51
340.0,19862.0,13.51
340.0,28151.0,13.51
351.0,8625.0,13.51
353.0,14865.0,13.51
356.0,12073.0,13.51
359.0,11657.0,13.51
351.0,15488.0,13.51
350.0,21715.0,13.51
345.0,27602.0,13.51
350.0,5861.0,13.51
351.0,12911.0,13.51
360.0,7226.0,13.51
365.0,16104.0,13.51
362.0,16846.0,13.51
360.0,11498.0,13.51
367.0,24683.0,13.51
370.0,11206.0,13.51
361.0,5819.0,13.51
363.0,9511.0,13.51
362.0,11257.0,13.51
357.0,7932.0,13.51
357.0,1292.0,13.51
358.0,10265.0,13.51
359.0,6093.0,13.51
365.0,7250.0,13.51
355.0,5006.0,13.51
360.0,19571.0,13.51
360.0,7876.0,13.51
352.0,8188.0,13.51
349.0,9168.0,13.51
349.0,15350.0,13.51
343.0,7661.0,13.51
339.0,16281.0,13.51
339.0,7672.0,13.51
337.0,13062.0,13.51
344.0,15700.0,13.51
342.0,11570.0,13.51
336.0,10654.0,13.51
338.0,10327.0,13.51
345.0,9386.0,13.51
348.0,17120.0,13.51
350.0,10010.0,13.51
346.0,8821.0,13.51
345.0,12291.0,13.51
347.0,16550.0,14.24
343.0,8376.0,14.24
343.0,9964.0,14.24
345.0,7411.0,14.24
341.0,7803.0,14.24
344.0,7029.0,14.24
351.0,22405.0,14.24
346.0,12943.0,14.24
348.0,17381.0,14.24
344.0,12608.0,14.24
347.0,22342.0,14.24
348.0,16782.0,14.24
348.0,8577.0,14.24
346.0,7027.0,14.24
341.0,4071.0,14.24
342.0,9362.0,14.24
347.0,5007.0,14.24
349.0,7453.0,14.24
